日期,板块,热度分,置信度,股票代码,股票名称,匹配线索
20260810,航空机场,2.0,观察,601021,春秋航空,航空|机场|民航|飞机
20260810,航空机场,2.0,观察,603885,吉祥航空,航空|机场|民航|飞机
20260810,电力,0.0,观察,000537,绿发电力,电力|火电|水电|核电
20260810,电力,0.0,观察,000539,粤电力Ａ,电力|火电|水电|核电
20260810,电力,0.0,观察,000543,皖能电力,电力|火电|水电|核电
20260810,电力,0.0,观察,000561,烽火电子,电力|火电|水电|核电
20260810,电力,0.0,观察,000767,晋控电力,电力|火电|水电|核电
20260810,电力,0.0,观察,000966,长源电力,电力|火电|水电|核电
20260810,电力,0.0,观察,000993,闽东电力,电力|火电|水电|核电
20260810,电力,0.0,观察,001289,龙源电力,电力|火电|水电|核电
20260810,电力,0.0,观察,002039,黔源电力,电力|火电|水电|核电
20260810,电力,0.0,观察,002366,融发核电,电力|火电|水电|核电
20260810,电力,0.0,观察,300407,凯发电气,电力|火电|水电|核电
20260810,电力,0.0,观察,301155,海力风电,电力|火电|水电|核电
20260810,电力,0.0,观察,301439,泓淋电力,电力|火电|水电|核电
20260810,电力,0.0,观察,301609,山大电力,电力|火电|水电|核电
20260810,电力,0.0,观察,600021,上海电力,电力|火电|水电|核电
20260810,电力,0.0,观察,600023,浙能电力,电力|火电|水电|核电
20260810,电力,0.0,观察,600101,明星电力,电力|火电|水电|核电
20260810,电力,0.0,观察,600236,桂冠电力,电力|火电|水电|核电
20260810,电力,0.0,观察,600292,电投水电,电力|火电|水电|核电
20260810,电力,0.0,观察,600452,涪陵电力,电力|火电|水电|核电
20260810,电力,0.0,观察,600505,西昌电力,电力|火电|水电|核电
20260810,电力,0.0,观察,600578,京能电力,电力|火电|水电|核电
20260810,电力,0.0,观察,600644,乐山电力,电力|火电|水电|核电
20260810,电力,0.0,观察,600744,华银电力,电力|火电|水电|核电
20260810,电力,0.0,观察,600795,国电电力,电力|火电|水电|核电
20260810,电力,0.0,观察,600831,广电网络,电力|火电|水电|核电
20260810,电力,0.0,观察,600886,国投电力,电力|火电|水电|核电
20260810,电力,0.0,观察,600900,长江电力,电力|火电|水电|核电
20260810,电力,0.0,观察,601016,节能风电,电力|火电|水电|核电
20260810,电力,0.0,观察,601985,中国核电,电力|火电|水电|核电
20260810,电力,0.0,观察,601991,大唐发电,电力|火电|水电|核电
20260810,电力,0.0,观察,603530,神马电力,电力|火电|水电|核电
20260810,电力,0.0,观察,603556,海兴电力,电力|火电|水电|核电
20260810,电力,0.0,观察,688597,煜邦电力,电力|火电|水电|核电
20260810,电力,0.0,观察,688660,电气风电,电力|火电|水电|核电
20260810,电力,0.0,观察,920046,亿能电力,电力|火电|水电|核电
20260810,电力,0.0,观察,920299,灿能电力,电力|火电|水电|核电
